Years','Stahle et al. (1998)','Mann et al. (2000)','Li et al. (2011) NADA PC1','Li et al. (2013) Tree-rings PC1','Freund et al. (2019) NCT DJF','Freund et al. (2019) NWP DJF','Freund et al. (2019) Nino4 DJF','Freund et al. (2019) Nino3 DJF','Stahle et al. (1993)','Cook et al. (2008) Nino12','Cook et al. (2008) Nino3 ','Cook et al. (2008) Nino34 ','Cook et al. (2008) Nino4','Geay et al. (2013) Nino3','McGregor et al. (2010) ','Tierney et al. (2015) East','Tierney et al. (2015) West','Braganza et al. (2009) Multiproxy R5','Braganza et al. (2009) Multiproxy R8','DArrigo et al. (2005) Nino3','Wilson et al. (2010) Nino34 COACPR','Wilson et al. (2010) Nino34 COAPCR','Wilson et al. (2010) Nino34 TelecPCR TEL','Wilson et al. (2010) Nino34 TelecREGEM TEL','Wilson et al. 2010 Nino34 zscoreCOA','Wilson et al. (2010) Nino34 zscoreTEL','Datwyler et al. (2020) ENSO DJF','Datwyler et al. (2019) FullPeriod PC1','Torbenson et al. (2019) eMEIall','Torbenson et al. (2019) eMEIstable','Zhu et al. (2022) Corals Li13b6','Zhu et al. (2022) Corals','Zhu et al. (2022) Li13b6.','Zhu et al. (2022) Ocn2kCorals Li13b6','Liu et al. (2024) PCR','Liu et al. (2024) DD','Falster et al.(2023)','ERSST Nino34','HadISST Nino34','ISOI','ICPC SOI'
1626,NaN,NaN,-1.477,-2.8539,-0.43583,-0.17563,-0.34779,-0.4211,NaN,-0.84885,-0.84419,-0.88003,-0.92003,-1.4972,NaN,-1.2024,-1.3798,-1.6063,NaN,-1.1933,-0.4146,-0.51908,-0.66714,-1.5173,-0.4746,-1.0292,-1.9522,-1.8753,NaN,NaN,-2.534,0.00068007,-2.8048,-2.3883,-0.097211,-0.40607,-0.21618,NaN,NaN,NaN,NaN
1627,NaN,NaN,0.574,-0.30148,0.38596,0.22394,0.33714,0.39559,NaN,0.19073,0.10192,0.051751,0.071614,-0.66193,NaN,-0.94752,0.20014,-0.3895,NaN,0.2043,0.37807,0.38604,-1.387,0.44377,0.27024,-0.87423,0.0001251,0.74215,NaN,NaN,0.071173,0.15386,0.035375,0.073563,0.62942,-1.0886,0.2475,NaN,NaN,NaN,NaN
1628,NaN,NaN,0.264,-0.28492,-0.063156,0.0012324,NaN,NaN,NaN,0.50095,0.57765,0.61082,0.77513,-1.3781,NaN,0.020853,0.65605,-0.21105,NaN,0.34016,1.0168,1.1149,-1.6513,-2.8664,1.1632,-2.2134,-0.08186,0.55937,NaN,NaN,0.17137,0.46023,0.035375,0.16825,0.00088539,-1.2206,0.73995,NaN,NaN,NaN,NaN
1629,NaN,NaN,1.193,1.8534,0.13114,0.099487,0.097416,0.15539,NaN,0.92669,0.90019,0.8986,0.87765,-0.088204,NaN,0.78536,0.35116,-0.0082534,NaN,0.6942,-0.22676,-0.30455,-0.6262,-0.75676,-0.31052,-0.73589,1.426,-0.008121,NaN,NaN,2.0751,0.61342,1.9288,1.9673,-0.20141,-2.0669,-0.43243,NaN,NaN,NaN,NaN
1630,NaN,NaN,0.856,0.56222,-0.044045,0.014333,NaN,-0.012753,NaN,0.74682,0.68651,0.7059,0.64963,-1.0535,NaN,-0.69269,0.32766,-0.56796,NaN,0.67361,-0.30937,-0.39879,-1.2809,-1.7877,-0.35088,-1.5701,0.73954,1.4387,NaN,NaN,0.47197,0.15386,0.45614,0.45231,-0.59388,-2.1,-0.24386,NaN,NaN,NaN,NaN
1631,NaN,NaN,-0.713,1.1741,-0.18101,-0.05117,-0.14231,-0.15687,NaN,0.12968,0.09654,0.16711,0.18828,-1.3562,NaN,-0.79462,-0.30033,-0.048812,NaN,-0.84341,-2.3306,-2.7063,0.14463,-0.19027,-2.3337,0.021806,0.18271,-0.92149,NaN,NaN,0.37177,0.15386,0.35095,0.35762,-0.37812,-1.6907,0.83581,NaN,NaN,NaN,NaN
1632,NaN,NaN,-2.415,0.24523,-0.54413,-0.22803,-0.45053,-0.51718,NaN,-0.2482,-0.28647,-0.27152,-0.3862,-1.2672,NaN,-3.1901,-0.056562,-1.5981,NaN,-0.35763,0.5396,0.57043,0.19252,0.71145,0.61175,0.36908,-1.3126,0.91682,NaN,NaN,-0.83062,-0.76524,-0.59577,-0.77861,0.015814,-1.3574,0.965,NaN,NaN,NaN,NaN
1633,NaN,NaN,0.285,-0.28712,-0.27975,-0.10357,-0.2108,-0.25295,NaN,-1.0683,-1.1936,-1.2426,-1.3814,-0.57978,NaN,0.22472,0.0066485,-0.62474,NaN,0.38956,1.6479,1.8357,1.3126,1.2245,1.4933,1.3628,-1.2565,0.68502,NaN,NaN,-0.53002,0.46023,-0.70096,-0.49455,-0.89455,-1.8042,2.8095,NaN,NaN,NaN,NaN
1634,NaN,NaN,0.488,0.95983,-0.26701,-0.097022,-0.2108,-0.25295,NaN,0.51415,0.61528,0.56391,0.39155,0.61971,NaN,1.5499,-0.089535,1.2653,NaN,0.85681,0.26915,0.26166,1.7818,2.5593,0.30524,2.167,0.93586,2.3198,NaN,NaN,1.1734,0.91979,0.8769,1.1151,1.3015,-0.22426,2.1669,NaN,NaN,NaN,NaN
1635,NaN,NaN,1.404,1.9274,0.054698,0.060185,0.06317,0.083328,NaN,1.8458,1.8382,1.7962,1.7173,2.6914,NaN,-0.081081,0.42233,2.0521,NaN,1.1388,-0.85051,-1.0166,1.884,3.5544,-0.91414,2.5862,1.1701,2.0698,NaN,NaN,1.5742,0.61342,1.508,1.4938,2.0361,0.22998,-0.28856,NaN,NaN,NaN,NaN
